Ano;Veículo;Título;Autores;Número;Volume;Local;Página Inicial;Página Final
2015;G;Cross-platform global framework;7882810928845952;38;13;;101;296
2014;GVaR;Realigned analyzing array;2046442917813182,8533292199274586,1750367399155058;46;37;;926;982
2013;S;Secured background architecture;9407289539669638,8021345340262535;5;;Millerstad;82;532
2015;ML;Ergonomic modular policy;1638745937944369,7089503135500102;30;5;;77;507
2016;MI;Organic systemic hub;9606486478028672;16;;East Kennethstad;439;655
2014;CMaR;User-centric heuristic collaboration;5262528182041271,9129638715325223,7532796691578058;21;;Lake Justinland;1;10
2013;BG;Reverse-engineered methodical focus group;9606486478028672,2447378201037990;27;1;;253;803
2013;HBaF;Function-based bi-directional help-desk;5510528010958883,5239942509087044;16;;East Jenniferborough;727;761
2013;BP;Multi-lateral local installation;9407289539669638;37;37;;891;914
2014;NaS;Persevering logistical function;9477538211420820,1638745937944369;45;15;;179;987
2014;BI;Realigned static algorithm;1582807585616034,3998492042499790,7338126532305121;50;;Jenniferborough;203;221
2015;HKaT;Re-engineered human-resource capability;2143271149416300,8031324513185618,9655811696159994;1;;East Jerry;306;491
2013;VGaA;Quality-focused fault-tolerant throughput;8293148607193232;40;32;;166;869
2014;S;Decentralized fault-tolerant middleware;9655811696159994,9477538211420820,7159346387032080;37;;West Isabel;576;717
2015;AHaP;Re-engineered dynamic analyzer;5485081027172277,1750367399155058;14;5;;555;912
2016;CMaR;Extended responsive artificial intelligence;9357483591910432;31;;Port Johnbury;536;957
2016;FI;Seamless 6thgeneration conglomeration;6557680333178323,6193227499902560,3998492042499790;33;14;;31;633
2016;H;Reverse-engineered analyzing policy;9770465873129031;9;;Deannabury;505;995
2016;D;Enhanced background throughput;9979662463574292;35;24;;16;974
2016;P;Enterprise-wide disintermediate conglomeration;8305208133103079,6891679769008337,2046442917813182;23;12;;428;644
2016;BWaH;Managed executive productivity;7931231762362917;10;;North Racheltown;211;693
2016;MI;Operative grid-enabled hierarchy;4736383437295147;42;;East Rebecca;337;653
2015;G;Automated optimizing open system;5262540415992174,7043858660461973;31;12;;644;687
2013;WRaP;Polarized responsive projection;8041631349517756,7186917466536994,2618873884046651;24;;Aimeeside;440;892
2016;F;Innovative value-added hierarchy;6557680333178323;32;;Boothland;274;400
2013;H;Front-line local customer loyalty;9655811696159994,2629063971493209;32;;Jesseborough;190;537
2013;BWaH;Synchronized context-sensitive time-frame;2618873884046651,9838454792036006;38;;Lake Alexis;530;852
2013;HP;Advanced systematic forecast;6337438064578677,7532796691578058,3144341430664049;33;45;;109;275
2014;RL;Multi-layered bi-directional database;8845454042159474,9357483591910432;28;;Allenbury;253;254
2016;LI;Virtual eco-centric challenge;2680213629710193;38;31;;468;978
2015;MP;Synchronized high-level moratorium;2262346136725360,9264876264363724,1582807585616034;32;13;;5;429
2014;MI;Versatile multimedia orchestration;3235375320367048,4541272142642528;16;;Tannerfurt;603;676
2013;BG;Persevering eco-centric synergy;9977073232858875,7683234841793745,6301301076316618;18;36;;735;920
2014;BG;Extended composite process improvement;9264876264363724,9977073232858875;5;24;;525;724
2013;YI;Configurable non-volatile protocol;8936625000762564,5649357631317748,4993909389282629;28;25;;66;709
2016;FSaG;Profound multi-state definition;9264876264363724,9129638715325223,2922930725706889;12;9;;638;840
2014;N;Programmable full-range success;2629063971493209,2348327453231091;3;;Danamouth;150;715
2013;JHaP;Profound impactful hierarchy;9477538211420820;3;24;;319;548
2015;B;Synergized attitude-oriented model;9075225650777316,2503751282303117,4478081765633457;35;;Jacksonland;371;927
2015;WRaP;Future-proofed incremental task-force;5327108447296812;2;;Burnsbury;899;961
2015;T;Balanced local workforce;2275799333779168,1135004726057093;9;8;;85;95
2016;S;Robust contextually-based solution;4478081765633457,7931231762362917;7;;East Bradley;205;444
2016;J;Fundamental fault-tolerant capacity;6601376839046843,7683234841793745,2262346136725360;27;;Stephaniefurt;198;978
2015;AaS;Ameliorated context-sensitive moderator;4541272142642528,9821346348660847;2;;West Jacquelineside;290;431
2014;N;Extended impactful neural-net;7532796691578058;15;;East Justinland;286;861
2013;T;Mandatory system-worthy framework;7412604949576097;24;40;;869;995
2016;LI;Persistent eco-centric knowledge user;6891679769008337,8305208133103079,3235375320367048;31;10;;372;701
2015;AaS;Universal discrete application;1376910945764891,5954767672734150,7514631069021629;14;;Lake Veronica;2;16
2016;B;Switchable dedicated implementation;8936625000762564,7412604949576097;30;;New Jeffbury;91;824
2015;VGaA;Vision-oriented mission-critical orchestration;1135004726057093,5700469223617587,2680213629710193;44;2;;348;657
2013;PMaH;Future-proofed interactive protocol;2137128760644423,7089503135500102,9838454792036006;45;42;;283;771
2014;T;Re-contextualized interactive algorithm;7882810928845952,2922930725706889,5262540415992174;21;23;;732;832
2016;D;Persevering bifurcated instruction set;1135004726057093;3;35;;13;99
2013;RL;Vision-oriented heuristic database;8845454042159474,2503751282303117,7514631069021629;15;;West Sandra;367;876
2013;G;Customer-focused multimedia ability;5485081027172277,7186917466536994,9606486478028672;4;41;;271;398
2013;J;Focused 24/7 throughput;2137128760644423;19;;Josephland;312;994
2014;M;Universal zero-defect focus group;4073227496418805,3227445512800622;6;9;;11;242
2014;JHaP;Upgradable needs-based contingency;9477538211420820;28;44;;282;812
2015;P;Future-proofed holistic software;3235375320367048,2618873884046651,4671743840601591;35;15;;615;975
2016;FI;Inverse solution-oriented installation;6193227499902560;32;24;;931;950
2016;T;Secured directional policy;3144341430664049,1088342601060931,7159346387032080;41;12;;77;477
2016;FSaG;Phased bandwidth-monitored projection;8305208133103079,8936625000762564;29;14;;222;539
2015;H;Reactive logistical hierarchy;4541272142642528;16;;Mathewshaven;784;863
2016;WL;Total radical groupware;1638745937944369,9264287531729077,3998492042499790;36;12;;170;189
2015;J;Universal optimal infrastructure;6557680333178323;29;;North Codybury;353;409
2013;J;Profound heuristic groupware;2680213629710193,5893293071812901;39;;Michaelville;272;387
2015;A;Monitored client-driven artificial intelligence;8305208133103079;30;;Glennchester;243;831
2014;BI;Realigned 24hour capability;3323705253115932,2487313480315695,2618873884046651;9;;Bowenburgh;126;604
2016;J;De-engineered coherent architecture;5700469223617587;49;;Fuentesburgh;173;625
2014;PMaH;Seamless object-oriented implementation;5327108447296812,1750367399155058,8031405438641992;44;17;;489;954
2015;JRaH;Distributed zero administration Graphic Interface;6328867226130339,1674773401625827;5;;South Ashley;167;726
2015;ML;Cloned actuating task-force;4073227496418805;46;20;;81;472
2016;H;Balanced national system engine;5239942509087044,2143271149416300,5954767672734150;17;;New Katietown;773;965
2016;AaS;Streamlined intermediate task-force;9722744349841064;35;;West Lisa;55;211
2013;PMaH;Vision-oriented exuding extranet;9611539741215920,3144341430664049;6;48;;218;229
2014;AHaM;Exclusive zero tolerance frame;7683234841793745;46;41;;276;910
2015;HBaF;Networked systematic solution;1582807585616034,2447378201037990;26;;Hillbury;538;689
2016;JI;Optimized 3rdgeneration product;2629063971493209;18;;North Stephen;187;747
2015;ML;Integrated bandwidth-monitored encryption;9407289539669638;38;44;;163;655
2015;HKaT;Profound human-resource data-warehouse;2262346136725360;39;;Port Fernando;660;765
2016;F;Pre-emptive solution-oriented task-force;2348327453231091;8;;Jessicamouth;35;345
2014;F;Networked coherent focus group;9357483591910432;17;;North Dustinshire;287;389
2013;JRaH;Streamlined didactic circuit;6891679769008337;45;;Whitefurt;179;638
2015;M;Cross-platform value-added customer loyalty;8305208133103079,2680213629710193;21;43;;429;645
2015;ML;Object-based contextually-based website;2348327453231091,1135004726057093;48;24;;516;753
2016;D;Distributed human-resource encoding;5239942509087044,8936625000762564;13;2;;106;468
2014;PI;Expanded intermediate model;1638745937944369,8936625000762564,7412604949576097;24;9;;121;819
2013;W;Balanced fresh-thinking open system;4073227496418805,9885156202210321;39;;West Ricardoborough;431;597
2016;AaS;Operative empowering access;4073227496418805,8031405438641992;17;;North Patrick;619;696
2016;MI;Decentralized contextually-based concept;9143802460662726,2618873884046651,9129638715325223;13;;New Jasonview;149;230
2014;P;Visionary demand-driven groupware;8748367107449062,2629063971493209;43;18;;165;694
2016;ZG;Triple-buffered modular frame;2697688583917184,6891679769008337,2143271149416300;1;44;;342;569
2013;ZG;Progressive next generation application;9143802460662726,7412604949576097,5262540415992174;14;16;;739;999
2014;RL;Assimilated interactive methodology;7186917466536994;23;;Port Kathleenville;237;721
2015;J;Assimilated fault-tolerant functionalities;1088342601060931;38;;Michaelfort;681;686
2015;BI;User-friendly real-time hierarchy;5893293071812901,6193227499902560;28;;West Cynthia;581;837
2014;PI;Organized well-modulated emulation;7186917466536994,5954767672734150;39;20;;141;296
2013;JI;Profit-focused non-volatile knowledgebase;9611539741215920;26;;New Jasonstad;160;633
2016;GVaR;Extended reciprocal projection;3722297188543195;39;18;;505;580
2013;MI;Organic solution-oriented application;8031324513185618,6268449287730388,4993909389282629;17;;Port Sarahfort;219;890
2014;AHaP;Synchronized clear-thinking groupware;5700469223617587;7;46;;6;879
2015;HKaT;Compatible actuating throughput;8305208133103079;23;;Costahaven;797;977
2015;A;Managed well-modulated emulation;2137128760644423,3227445512800622;16;;Wilkinsonberg;716;727
2016;HP;Re-engineered national architecture;1582807585616034,9655811696159994;5;50;;5;541
2014;JRaH;Profound multimedia installation;1674773401625827;8;;North Jefferyton;704;757
2015;B;Cross-platform asynchronous software;7089503135500102;26;;Nicholemouth;120;163
2014;ZG;Enterprise-wide clear-thinking interface;1965133409445603,3235375320367048;46;21;;981;994
2014;HP;Future-proofed fault-tolerant open system;8021345340262535,8845454042159474;38;3;;149;437
2013;ML;Centralized scalable policy;9357483591910432,4736383437295147,9143802460662726;46;34;;581;767
2014;ZG;Extended demand-driven leverage;4541272142642528,6467024971475515,3323705253115932;27;33;;724;987
2015;ZG;Universal needs-based budgetary management;7532796691578058;36;48;;66;962
2013;RL;Synergized logistical instruction set;7186917466536994,4073227496418805,9821346348660847;34;;South Leslie;396;573
2015;T;Up-sized object-oriented instruction set;4671743840601591,3323705253115932;43;35;;529;892
2015;D;Horizontal client-driven solution;3323705253115932;37;21;;718;927
2013;HL;Reactive motivating conglomeration;8305208133103079;25;3;;160;838
2013;BWaH;Adaptive user-facing pricing structure;7412604949576097,6413140277984870;4;;Tommytown;559;564
2015;YI;Advanced even-keeled archive;1638745937944369,8041631349517756,4736383437295147;15;39;;451;951
2015;FSaG;Reactive static alliance;7043858660461973,2137128760644423,9477538211420820;11;29;;212;313
2015;YI;Digitized asynchronous knowledge user;7532796691578058,9264876264363724,4541272142642528;26;42;;213;922
2016;HKaT;Inverse zero tolerance frame;9838454792036006,5327108447296812;8;;Smithville;447;455
2014;BP;Open-architected 24hour groupware;2697688583917184,9611539741215920,5700469223617587;3;18;;132;434
2013;YI;Front-line upward-trending intranet;6557680333178323,5893293071812901,9770465873129031;48;4;;851;978
2014;TG;Robust neutral structure;4073227496418805,8305208133103079;49;;Hallview;18;418
2015;MI;Object-based composite policy;7186917466536994;46;;Morriston;92;339
2014;VGaA;Vision-oriented intermediate projection;9264287531729077,9407289539669638;11;6;;463;654
2016;GVaR;Customizable systematic complexity;1965133409445603,2503751282303117,9264287531729077;40;30;;263;796
2013;ML;Stand-alone real-time data-warehouse;7043858660461973;19;20;;585;652
2016;T;Networked maximized archive;5893293071812901,8031324513185618,6467024971475515;11;5;;147;343
2014;YI;Object-based 5thgeneration methodology;9143802460662726,5244357431315552;14;37;;709;925
2015;PI;Universal foreground throughput;8533292199274586;13;7;;109;740
2016;JRaH;Re-engineered background encryption;6601376839046843;16;;East Danielfurt;15;410
2014;A;Persistent dedicated encryption;4541272142642528,5485081027172277;3;;Jamesshire;25;592
2016;BP;Progressive impactful initiative;2503751282303117,6891679769008337,1965133409445603;43;33;;337;383
2016;HL;De-engineered well-modulated framework;7882810928845952;15;50;;707;833
2013;JRaH;Sharable web-enabled circuit;5700469223617587;28;;Cummingsstad;294;412
2016;CMaR;Focused optimizing archive;3227445512800622,8936625000762564;16;;West Heather;35;683
2014;BI;Robust holistic matrix;1674773401625827,8031324513185618,3144341430664049;50;;New Roy;410;423
2014;GVaR;Programmable mission-critical secured line;8031405438641992,8305208133103079,2922930725706889;42;37;;556;936
2013;HKaT;Diverse object-oriented knowledgebase;7412604949576097,7532796691578058;3;;West Joseton;389;897
2016;N;Down-sized coherent support;3722297188543195;3;;North Henrystad;215;251
2016;RL;Decentralized local alliance;6467024971475515,2503751282303117,2922930725706889;32;;Francisland;39;437
2015;BI;Universal actuating moratorium;9979662463574292,9264876264363724,9129638715325223;10;;Lake Gregoryport;172;756
2014;RL;Customer-focused mission-critical interface;8031324513185618,8021345340262535,5893293071812901;33;;Blackfurt;848;966
2013;YI;Cross-platform didactic benchmark;2637674440233374,1638745937944369;32;4;;221;430
2015;BI;Programmable attitude-oriented frame;2637674440233374;38;;New Carlstad;463;483
2016;WRaP;De-engineered bottom-line challenge;5893293071812901,4993909389282629;12;;Kristenton;5;550
2016;T;Future-proofed dedicated model;4671743840601591,3235375320367048;41;37;;145;314
2016;MP;Devolved disintermediate matrix;6193227499902560,9407289539669638;49;44;;38;484
2013;P;Self-enabling background structure;4993909389282629;19;15;;21;738
2015;A;Operative 6thgeneration matrix;8031324513185618,5262528182041271,8845454042159474;40;;Edwardchester;435;908
2016;CMaR;Enhanced leadingedge info-mediaries;5700469223617587;20;;Knappbury;358;775
2015;NaS;Organized asynchronous database;4736383437295147,8293148607193232,1582807585616034;46;39;;257;733
2016;TG;Enhanced bandwidth-monitored benchmark;6268449287730388,9407289539669638;22;;East Linda;666;708
2015;F;Switchable asynchronous matrices;2697688583917184;3;;New Anthonyport;416;618
2013;NaS;Centralized explicit toolset;5262528182041271,6337438064578677;30;50;;151;508
2015;B;Grass-roots discrete orchestration;1135004726057093;36;;Salazarstad;251;622
2015;RaS;Open-source actuating utilization;1750367399155058,5893293071812901,4073227496418805;34;;Jasonmouth;314;552
2014;AHaM;Seamless actuating portal;7931231762362917;39;27;;251;633
2016;G;Proactive fault-tolerant benchmark;4736383437295147,3722297188543195;27;23;;222;429
2016;D;Cross-group needs-based function;6193227499902560,9264876264363724,2046442917813182;6;41;;126;908
2013;D;Open-architected systematic model;5485081027172277,9264287531729077,7043858660461973;20;24;;368;742
2014;HKaT;Progressive grid-enabled challenge;9977073232858875,5327108447296812;43;;West Michele;136;856
2016;MP;Persistent stable flexibility;4073227496418805,7412604949576097,7532796691578058;20;30;;240;688
2016;A;Centralized attitude-oriented frame;6301301076316618,2680213629710193;3;;East Terranceshire;41;449
2016;D;Re-engineered reciprocal capability;3998492042499790,8031324513185618,5649357631317748;23;14;;107;793
2015;ML;Devolved 6thgeneration attitude;6328867226130339,2503751282303117,8533292199274586;43;32;;11;462
2014;TG;Profound even-keeled matrix;2637674440233374;20;;Davisside;645;705
2013;S;Distributed even-keeled hierarchy;9977073232858875;17;;South Sophia;223;614
2016;HP;Quality-focused uniform encryption;7089503135500102,9129638715325223,6601376839046843;34;8;;661;900
2013;W;Phased fresh-thinking Graphical User Interface;7159346387032080,2487313480315695;25;;Snowside;815;892
2016;W;Focused needs-based open architecture;1638745937944369,6268449287730388;21;;Carterport;500;916
2014;AHaP;Monitored background productivity;6328867226130339;29;30;;681;920
2014;SI;Synergized transitional system engine;7931231762362917,9143802460662726;34;22;;140;524
2016;ML;Visionary real-time help-desk;1088342601060931;32;40;;134;364
2015;BWaH;Down-sized fresh-thinking matrices;5239942509087044,4736383437295147,7159346387032080;35;;Port Heidistad;230;961
2015;D;Future-proofed homogeneous extranet;1674773401625827,6328867226130339,1750367399155058;21;19;;26;128
2013;HL;Adaptive grid-enabled knowledgebase;1582807585616034,4478081765633457,9264876264363724;25;18;;227;649
2015;JHaP;Assimilated mobile software;5327108447296812,5239942509087044,7882810928845952;50;8;;204;343
2015;M;Devolved fault-tolerant conglomeration;2143271149416300,9885156202210321,7514631069021629;46;12;;477;648
2013;TG;Sharable exuding throughput;2143271149416300,9264876264363724,8748367107449062;32;;Lake Kevinmouth;417;447
2014;HBaF;Configurable impactful secured line;6601376839046843,6337438064578677;30;;Thomasfort;479;875
2016;ML;Pre-emptive client-driven leverage;9264287531729077,4671743840601591;14;38;;579;965
2016;WL;Grass-roots bandwidth-monitored structure;2680213629710193,3227445512800622,2275799333779168;21;30;;33;662
2013;HBaF;Programmable incremental archive;9264876264363724,2447378201037990;41;;Angelahaven;238;562
2015;LI;Down-sized foreground knowledgebase;8845454042159474,4993909389282629;4;30;;130;689
2014;F;Upgradable needs-based standardization;5239942509087044;7;;West Brent;484;904
2013;HaS;Implemented fresh-thinking project;7683234841793745,2137128760644423,9264876264363724;40;8;;57;219
2016;FI;Compatible composite help-desk;7931231762362917,3144341430664049,9264876264363724;42;3;;551;804
2014;AHaM;Upgradable content-based capacity;4671743840601591,2348327453231091,3998492042499790;30;7;;657;979
2015;JI;Ameliorated holistic data-warehouse;5893293071812901,4993909389282629,6301301076316618;41;;East Glennshire;318;680
2015;ML;Cloned 5thgeneration moratorium;4478081765633457;48;10;;665;904
2016;BWaH;Customer-focused user-facing budgetary management;2354218094325113,9941630418391841;45;;Williamsonport;906;924
2014;J;User-centric 24hour hub;2618873884046651;29;;Barbaramouth;441;441
2014;P;Adaptive user-facing capacity;5510528010958883;50;10;;660;667
2015;AaS;Public-key systematic Graphic Interface;8936625000762564;18;;Brandonfort;161;383
2015;MP;Seamless multi-tasking model;6328867226130339,4073227496418805,4744077090897343;14;48;;167;1000
2016;JI;Secured non-volatile neural-net;8845454042159474;3;;South Scottport;384;579
2013;P;User-centric contextually-based strategy;8031405438641992,1674773401625827;22;6;;278;608
2015;BI;Re-contextualized client-driven matrices;9075225650777316,2143271149416300,2637674440233374;20;;Gutierrezport;321;979
2014;MP;Object-based client-server success;9264876264363724;36;32;;335;618
2016;B;Total logistical access;2680213629710193,3227445512800622,4541272142642528;39;;North Patricia;114;465
2013;CMaR;Diverse regional moderator;5262528182041271,9770465873129031;47;;Lake Sarah;930;978
2014;SI;Adaptive asymmetric hierarchy;7931231762362917,2143271149416300,9606486478028672;3;25;;528;886
2013;GVaR;Future-proofed foreground core;4993909389282629,8936625000762564;19;26;;171;992
2016;NaS;Proactive zero-defect array;2487313480315695,9821346348660847,9838454792036006;26;5;;283;773
2015;AHaP;Ameliorated bifurcated challenge;1088342601060931,1965133409445603;42;11;;117;992
2015;JRaH;Balanced stable circuit;2447378201037990,1135004726057093,5262528182041271;7;;Reyesville;578;784
2013;BWaH;Quality-focused dynamic solution;4744077090897343;6;;Annemouth;163;913
2013;RaS;Devolved responsive ability;8305208133103079,8533292199274586;15;;Christophershire;573;714
2014;PI;Profit-focused content-based capacity;9722744349841064,2629063971493209;44;23;;61;157
2013;HP;Versatile transitional Local Area Network;9941630418391841,2354218094325113,2262346136725360;48;3;;490;913
2013;WL;Multi-channeled disintermediate framework;2697688583917184,7186917466536994,4671743840601591;1;15;;462;480
2015;NaS;Multi-lateral analyzing synergy;3722297188543195;32;33;;34;736
2014;JRaH;De-engineered user-facing synergy;2618873884046651,6832903342497770;9;;Port Darlenefurt;59;243
2013;HaS;Polarized tangible instruction set;6301301076316618,1965133409445603;33;34;;290;873
2016;FI;Persevering zero-defect time-frame;6337438064578677;21;43;;596;601
2016;BP;Cross-group dedicated hardware;1638745937944369;3;33;;86;312
2015;G;Automated motivating Graphical User Interface;8845454042159474,5485081027172277,2046442917813182;36;8;;680;789
2015;J;Compatible multimedia instruction set;2046442917813182,8533292199274586;32;;South Nicholas;184;377
2015;PI;Persistent intangible flexibility;7514631069021629;7;7;;426;440
2016;BI;Synergistic optimizing core;6467024971475515;11;;Cardenasbury;215;316
2016;RaS;Universal optimizing model;3144341430664049,9979662463574292,1135004726057093;9;;East Michaeltown;628;850
2016;GVaR;Balanced directional matrices;7882810928845952,9606486478028672,8533292199274586;17;5;;317;933
2013;NL;Ergonomic bi-directional array;2137128760644423,9264876264363724,2637674440233374;16;;New Elizabethland;65;188
2014;J;Monitored 24/7 benchmark;3998492042499790,9941630418391841,3144341430664049;41;;New Jasonton;324;875
2014;SI;Triple-buffered asymmetric function;3323705253115932,1376910945764891;37;44;;421;638
2014;HP;Exclusive uniform intranet;3144341430664049,7882810928845952,2143271149416300;39;11;;369;497
2016;B;Open-source logistical architecture;5700469223617587,3323705253115932,2629063971493209;43;;South Michaeltown;201;463
2013;T;Optional asynchronous hierarchy;2629063971493209,6891679769008337;41;2;;462;644
2014;HP;Public-key motivating help-desk;2137128760644423,6891679769008337;50;26;;91;568
2016;JI;Devolved modular definition;1135004726057093,7412604949576097;36;;Loganborough;235;912
2014;HKaT;Quality-focused leadingedge algorithm;8031405438641992,5244357431315552;49;;South Davidmouth;405;899
2016;F;Quality-focused logistical matrix;8936625000762564,8041631349517756;15;;Jessicamouth;347;768
2014;VGaA;Ergonomic web-enabled pricing structure;7186917466536994;41;35;;66;635
2013;HL;Multi-lateral client-server projection;6467024971475515;18;32;;405;484
2016;JRaH;Multi-layered zero tolerance installation;6601376839046843;41;;Lake Laura;410;778
2016;F;Enterprise-wide radical framework;6557680333178323,1965133409445603;28;;West Christinabury;25;617
2015;HBaF;Proactive 3rdgeneration ability;8031324513185618,9129638715325223;20;;Rebeccamouth;291;876
2013;AHaM;Re-engineered directional architecture;6193227499902560,9979662463574292;44;24;;79;619
2013;AHaP;Operative demand-driven matrix;3998492042499790;23;50;;502;529
2013;RL;Multi-tiered optimal workforce;8031405438641992,5649357631317748;14;;Fryebury;327;970
2013;ZG;Ergonomic optimal knowledgebase;9264876264363724,2447378201037990;28;44;;444;657
2016;HL;Persistent radical emulation;6337438064578677,7412604949576097;8;30;;415;587
2014;D;Cross-group asynchronous model;2629063971493209,2922930725706889;12;37;;170;509
2014;F;Upgradable multi-tasking policy;8041631349517756,9885156202210321;23;;East Jack;215;436
2015;HKaT;Streamlined executive data-warehouse;2904391767971119,1376910945764891,1638745937944369;48;;South Katherine;398;500
2014;VGaA;Programmable impactful moderator;2922930725706889,5954767672734150,8305208133103079;33;28;;100;264
2013;T;Mandatory dedicated software;8031324513185618,3227445512800622;28;46;;665;952
2014;AHaP;Secured heuristic encryption;7159346387032080,9264287531729077,5262528182041271;27;25;;454;461
2015;AaS;Optional object-oriented contingency;8305208133103079;45;;West Joyce;191;645
2013;B;Compatible reciprocal firmware;8293148607193232,6413140277984870,6328867226130339;22;;Rodriguezport;371;817
2013;RL;Ergonomic fresh-thinking productivity;3323705253115932,9407289539669638;50;;West Michellechester;492;992
2013;WRaP;Robust zero tolerance parallelism;2137128760644423,6891679769008337,5327108447296812;47;;Justinberg;131;748
2014;AHaM;Centralized intermediate matrices;3998492042499790;25;33;;252;810
2016;HL;Monitored maximized array;9611539741215920,3144341430664049;18;26;;34;730
2016;W;Upgradable homogeneous adapter;5327108447296812,9477538211420820,7683234841793745;34;;Troyside;260;805
2013;FI;Team-oriented multimedia solution;7043858660461973,2487313480315695,8041631349517756;38;35;;769;874
2016;BWaH;Cross-group modular capacity;6328867226130339,5649357631317748;6;;Apriltown;170;311
2014;N;Persistent zero tolerance process improvement;2447378201037990,4744077090897343,2637674440233374;45;;North Tricia;851;853
2015;HaS;Reduced upward-trending hub;9264876264363724,6557680333178323;28;38;;266;732
2013;PMaH;Virtual actuating Graphical User Interface;2354218094325113,1638745937944369;47;32;;33;388
2015;AHaP;Cross-group uniform circuit;9979662463574292,9143802460662726;18;41;;385;401
2013;AHaP;Monitored local function;5954767672734150,8031405438641992,8293148607193232;2;47;;34;63
2014;AaS;Open-architected 5thgeneration superstructure;2503751282303117,4478081765633457;9;;South Sherri;866;999
2016;J;Customer-focused 3rdgeneration installation;6193227499902560;36;;South Teresa;520;781
2015;BI;Programmable composite data-warehouse;7931231762362917,2503751282303117;26;;Lake Alex;238;554
2013;BI;Realigned context-sensitive encryption;4073227496418805,2046442917813182;26;;Marystad;292;985
2016;CMaR;Ameliorated neutral application;8031405438641992,5893293071812901,2637674440233374;25;;Raymondside;45;83
2014;JI;Seamless tertiary array;8031324513185618,8031405438641992,6557680333178323;37;;Riverafort;361;519
2013;NL;Re-contextualized full-range workforce;7186917466536994,1750367399155058;19;;West Sandramouth;330;855
2016;TG;Switchable asynchronous monitoring;7186917466536994;4;;Jeffreyton;139;411
2014;BI;Down-sized mission-critical parallelism;8031324513185618,5262528182041271;42;;Thomaston;209;851
2014;AHaP;Exclusive optimizing frame;5649357631317748,7882810928845952;1;28;;187;718
2014;AaS;Quality-focused motivating Internet solution;1376910945764891;38;;South John;734;910
2015;F;Total holistic neural-net;2637674440233374;42;;West Davidborough;272;411
2013;SI;Stand-alone web-enabled matrix;6413140277984870,5327108447296812;45;2;;611;926
2015;P;Stand-alone motivating model;7338126532305121;17;34;;661;918
2015;RaS;Virtual attitude-oriented migration;7683234841793745,2618873884046651,9838454792036006;25;;West Kristina;191;289
2015;PMaH;Triple-buffered asynchronous array;3722297188543195;44;5;;28;200
2016;HaS;Up-sized asymmetric contingency;7532796691578058;34;1;;584;880
2014;HBaF;Managed analyzing architecture;8031324513185618,7159346387032080,9979662463574292;23;;Bautistaside;574;809
2015;AHaP;Balanced encompassing orchestration;3323705253115932;28;28;;229;642
2013;D;Networked cohesive leverage;9075225650777316,5239942509087044;33;26;;532;885
2013;LI;Function-based system-worthy intranet;5244357431315552,8031405438641992,4541272142642528;22;15;;586;781
2016;T;Robust full-range system engine;4736383437295147,9611539741215920;26;47;;188;412
2015;BWaH;Inverse neutral migration;2143271149416300,5700469223617587;50;;Robertside;165;677
2016;HL;Customizable asynchronous project;3998492042499790,7683234841793745,7186917466536994;29;33;;597;840
2016;AHaM;Synergistic systemic productivity;3144341430664049,5954767672734150;23;18;;21;171
2016;MI;Enhanced explicit application;2447378201037990,3722297188543195;23;;West Amberberg;247;819
2016;HKaT;Profit-focused asymmetric superstructure;9941630418391841;32;;Brownshire;71;862
2013;FI;Open-source executive task-force;7089503135500102,5244357431315552;4;30;;55;477
2013;ML;Streamlined object-oriented time-frame;8021345340262535,7683234841793745;18;48;;337;682
2014;T;Grass-roots composite algorithm;4736383437295147,9407289539669638,8936625000762564;18;35;;359;773
2013;FSaG;Intuitive context-sensitive frame;2503751282303117,6268449287730388;23;46;;777;966
2016;RaS;User-centric demand-driven array;6557680333178323,5327108447296812,8533292199274586;31;;New Tyler;332;998
2016;M;Digitized 5thgeneration utilization;3998492042499790,1376910945764891;11;15;;246;521
2014;S;Down-sized bi-directional moratorium;2503751282303117,9977073232858875;4;;Lake Nicole;318;409
2013;NL;User-friendly interactive firmware;7043858660461973,1376910945764891,9407289539669638;37;;Vazquezchester;2;61
2014;HL;Upgradable value-added forecast;9264287531729077,9821346348660847,6301301076316618;20;39;;473;474
2013;BI;Extended systematic capacity;2680213629710193,8748367107449062,8305208133103079;17;;East Grant;263;263
2013;HBaF;Versatile executive parallelism;4736383437295147;46;;North Nicholasmouth;9;160
2016;S;Reduced next generation algorithm;2680213629710193;22;;Lake Brian;73;798
2016;WRaP;User-friendly interactive firmware;2354218094325113;8;;Schaefershire;520;855
2016;G;Quality-focused analyzing model;1674773401625827;41;33;;138;936
2013;ML;Mandatory coherent circuit;7159346387032080,7043858660461973,2143271149416300;17;22;;466;875
2014;PMaH;Multi-lateral tangible functionalities;2143271149416300;32;37;;50;233
2014;PI;Customizable cohesive artificial intelligence;9264876264363724;19;34;;3;797
2014;VGaA;Mandatory regional adapter;9264876264363724,6891679769008337,5954767672734150;42;12;;55;867
2013;RaS;Focused homogeneous emulation;7186917466536994;41;;Craigstad;645;761
2015;W;Advanced impactful access;8293148607193232;10;;Amyview;173;840
2013;WL;Streamlined mission-critical application;8031324513185618;9;9;;459;502
2014;ML;Synchronized human-resource hardware;7043858660461973;17;9;;484;918
2016;MP;Phased modular interface;2618873884046651,2922930725706889;17;45;;197;482
